id,restr_name,food_ctg,addr,code
74,오수별채,한식,서울 종로구 인사동8길 12-1,33292796
75,예가낙지마을,낙지요리,서울 강남구 영동대로 513,1439828147
76,고릴라김밥 서소문점,김밥,서울 중구 서소문동 서소문로 134-6,1204371366
77,시골집진지상,한정식,서울 중구 마장로15길 2-27,18103282
78,굶지마시오,한식,경기 안양시 만안구 안양로257번길 15,1059583505
79,안주마을,요리주점,서울 은평구 갈현로 300 1층 112호,1173812224
80,최강족발&보쌈,"족발,보쌈",서울 송파구 송이로 101 1층최강족발,109092715
81,고재욱 낭만포차,포장마차,서울 송파구 올림픽로47길 15 . 1층 고재욱 낭만포차,1428998561
82,식도락,한식,경기 군포시 속달로110번길 16,1697372454
83,뻘밭에 핀 꽃,한식,서울 동작구 사당로22길 8,1289556148
84,달빛정원,"맥주,호프",경기 양주시 평화로 1556,1621338625
85,준섬진강다슬기,한식,경기 광명시 일직로 43 지아이디씨 C동 1층 1107호,1150882611
86,석정껍데기소금구이,돼지고기구이,인천 미추홀구 주안중로38번길 1-1,33913363
87,로뎀나무아래서,"카페,디저트",서울 노원구 상계로9가길 29 1층 일부,1233655556
88,봉이밥 인사동점,한식,서울 종로구 삼일대로 446-34 101호,1684042890
89,만원의 행복,한식,서울 관악구 국회단지27길 15,1259815108
90,오병이어,종합분식,인천 부평구 경인로 948,1283283774
91,송죽헌,한정식,서울 종로구 율곡로6길 17,11680189
92,퀴즈노스 서울성모병원점,샌드위치,"서울 서초구 반포대로 222 지하1층 (반포동, 서울성모병원 본관)",1226942623
93,수도원,술집,서울 종로구 동숭3길 16 지하1층,37691225
94,코아김밥,김밥,경기 수원시 팔달구 화양로50번길 30,1742940633
95,새벽찜닭,찜닭,서울 관악구 은천로 143 관악동부센트레빌,31506060
96,성민양꼬치 2호점,양꼬치,서울 관악구 관악로14길 15,38238508
97,안,양식,서울 영등포구 국제금융로8길 31,1175553300
98,화낙지 신도림테크노마트점,낙지요리,서울 구로구 새말로 97 신도림테크노마트,12893976
99,공차 왕십리역점,차,서울 성동구 왕십리광장로 17 비트플렉스 지상2층,36947994
100,돌판구이또바기,"육류,고기요리",서울 강동구 구천면로17길 32 101호,1790566498
101,문타로 이태원점,이자카야,서울 용산구 이태원로 230-1,11701398
102,원탭,"맥주,호프",서울 동작구 흑석로 111-6,38291634
103,자담치킨 강남수서점,"치킨,닭강정",서울 강남구 밤고개로1길 10 현대벤쳐빌 1층 1164호,1040113733
104,마마포차,포장마차,서울 동대문구 답십리로66길 49,1325188524
105,돈까스명가,돈가스,경기 성남시 중원구 시민로 66 중앙동힐스테이트2차,37288446
106,일품,돼지고기구이,서울 관악구 신림동길 26 1층 일품,1583067987
107,레표시카,베이커리,경기 안산시 단원구 화랑로 22,1027895937
108,이모네,한식,서울 종로구 낙산길 5,1344702561
109,목원,한식,서울 종로구 종로 258-2 가로판매대,20736032
110,삼풍치킨 본점,"치킨,닭강정",서울 서초구 서초중앙로24길 18,34461651
111,연어로만&샐러드,"다이어트,샐러드",인천 미추홀구 주안로 95-19 1호선 주안역 지하상가개찰구,1002537950
112,마마즉석떡볶이,떡볶이,경기 남양주시 진접읍 봉현로36번길 10 1층 104호,36220239
113,또와초밥,"초밥,롤",경기 화성시 떡전골로 72-3 리치프라자 또와초밥,1912148935
114,파리바게뜨 잠실장미점,베이커리,"서울 송파구 올림픽로35길 112 (신천동) 장미종합상가B동 1층 11호,12호",11689938
115,하소미생고기마을,"육류,고기요리",서울 송파구 동남로8길 5,959118849
116,이모네포차,포장마차,서울 광진구 자양로18길 44 1층,1699003801
117,란카페,"맥주,호프",서울 성동구 금호산2길 17-1,1512996473
118,김순례닭강정 평택베스트원점,"치킨,닭강정",경기 평택시 경기대로 945 평택고덕아이파크 판매시설동 지1층 125호,1977878857
119,목포홍어무침,"해물,생선요리",서울 마포구 망원로8길 9,1095334441
120,왕가네뼈다귀,해장국,경기 동두천시 삼육사로 1034,38261949
121,청담과일향,종합분식,경기 성남시 수정구 위례광장로 34,1697734488
122,우리식당,한식,인천 부평구 경원대로1232번길 5-10,1437785944
123,남극회관,한식,서울 은평구 통일로66길 9 1층,18134827
124,스시와,"초밥,롤",경기 광명시 광명로 915 1층102호,1486319194
125,여일정,한식,서울 영등포구 국제금융로6길 7 한양증권 지하 1층,18581510
126,텅,카페,서울 종로구 율곡로 82 701호,1224384502
127,신원,한식,서울 영등포구 여의대로 56 지하1층 신원,18581734
128,명인만두 차병원사거리점,분식,서울 강남구 봉은사로26길 23,1157609660
129,탐앤탐스 티티클럽노원점,카페,서울 노원구 노해로 507 와우쇼핑몰,12951314
130,G닥스 파닭,"치킨,닭강정",경기 시흥시 정왕천로423번길 14,1043020902
131,청솔푸드,한식뷔페,경기 안양시 동안구 벌말로 42,1060657068
132,황가네포차,포장마차,서울 관악구 신원로 16,1083872640
133,커먼센스,"카페,디저트",경기 광명시 덕안로104번길 17 엠클러스터 143호,1995498965
134,이태원분식,종합분식,서울 용산구 회나무로 23 이태원분식,20886075
135,라떼유,"카페,디저트",서울 강서구 공항대로59길 22 101호,1757566035
136,옥 오코노미야끼,일식당,서울 마포구 양화로6길 57-13 옥 오코노미야끼,1213717454
137,야키토리리,일식당,서울 관악구 남부순환로 1870 1층,1323386658
138,보메청담,양식,서울 강남구 선릉로152길 40 1층,1069165695
139,용호동낙지 파스텔시티사당점,낙지요리,서울 서초구 방배천로 11 파스텔시티 3층,1039904994
140,코코이찌방야 대학로점,카레,서울 종로구 동숭길 136,882220259
141,뜸들이다 당산점,"도시락,컵밥",서울 영등포구 당산로41길 11 111호,1420674082
142,영석이네,"육류,고기요리",서울 성북구 보문로38길 43,1654836264
143,명동왕돈까스 &냉면,돈가스,경기 부천시 오정구 중동로 415-4,18957777
144,콘래드서울 37그릴앤바,양식,서울 영등포구 국제금융로 10 서울 국제금융 센터,34033812
145,보리마루호두과자 13호점,호두과자,"인천 부평구 동수로120번길 57 ( 부평동, 부평엘에이치1단지)",1605140179
146,SL,"스파게티,파스타전문",인천 미추홀구 경인로 125,37586965
147,돼지삼형제,"족발,보쌈",서울 구로구 고척로20길 70-4,20986124
148,구영회참치&초밥 강남점,생선회,서울 강남구 테헤란로39길 37 1층,36642910
149,호치킨 성내3동점,"치킨,닭강정",서울 강동구 풍성로 214 동양빌딩,33499914
150,길림성,중식당,서울 마포구 모래내로9길 22,20080473
151,로라방앗간 스타필드고양,떡볶이,경기 고양시 덕양구 고양대로 1955,1536271690
152,짜앤짬탕수육 본점,중식당,서울 중랑구 겸재로 130,20938374
153,1+1 참맛죽 교대점,한식,서울 서초구 서초중앙로 125,1661840808
154,로베아,분식,서울 영등포구 영등포동 경인로 846,1057381039
155,이종구낙지세상석남점,낙지요리,인천 서구 가정로 292,37625158
156,투파인드피터 서울성수점,이탈리아음식,서울 성동구 아차산로 97 2층 투파인드피터 성수,1165964905
157,오늘은치맥파티,"치킨,닭강정",서울 광진구 구의강변로 94 현대6차아파트,37848516
158,차이싱,중식당,"서울 동작구 장승배기로11가길 11 상가2층(상도동, 상도자이아파트상가)",601455445
159,광주아구찜탕,"아귀찜,해물찜",경기 성남시 수정구 수정로99번길 3,19216405
160,셀프수산킹크랩대게 도봉점,킹크랩요리,서울 도봉구 도봉로 452,17991971
161,최고집 풍천장어,"해물,생선요리",서울 광진구 아차산로51길 79,20314708
